"ASN","Entity"
"27223","Bare Metal Hosting"
"27229","Webhosting.Net, Inc."
"27257","WEBAIR-INTERNET - Webair Internet Development Company Inc.,"
"27310","180SERVERS - 180Servers.com"
"27323","Wowrack.com (ServerStadium)"
"27357","Rackspace Hosting"
"27411","Leaseweb USA, Inc. (Windscribe)"
"27467","TierPoint, LLC"
"27524","US | XEEX-COMMUNICATIONS - Xeex, US"
"27582","TierPoint, LLC"
"27589","MOJOHOST"
"27597","Siteserver Hosting, Inc."
"27640","GIGAS HOSTING USA, LLC"
"27846","AR | DOS MONOS S.A."
"28092","PA | Panama Hosting Technologies"
"28099","iHosting Servicios Internet Ltda."
"28216","Host Revenda"
"28333","Local Datacenter Solu&#231;&#245;es em Comunica&#231;&#227;o Ltda."
"28490","US | TELEVISION POR CABLE DEL NORTE DE SONORA S.A. DE C.V.,MX"
"28639","BR | LocalNet Network"
"28747","Easyhost BVBA"
"28753","LEASEWEB-, DE"
"28762","Citytelecom LLC (Datahouse-SPB)"
"28836","WorldStream B.V."
"28855","GalacSYS is an hosting and managed services provider"
"28997","Nedcomp Hosting B.V."
"29006","POBOX-AS Acora Limited"
"29066","VELIANET-AS velia.net Internetdienste GmbH, DE"
"29067","Hostmaster LLC"
"29073","QUASINETWORKS, NL"
"29097","Hostpoint AG, Switzerland"
"29119","ServiHosting Networks S.L."
"29131","IOMART CLOUD SERVICES LIMITED (RAPIDSWITCH-AS)"
"29134","IGNUM-AS Webglobe, s.r.o."
"29140","Autonomous System Hostserver GmbH"
"29182","ISPSYSTEM-AS, LU"
"29302","HSI-EUROPE, GB"
"29311","ASP4all Hosting B.V."
"29331","Forsikringens Datacenter A/S"
"29354","PCE-DE-DUS - PCE-NET GmbH, DE"
"29401","SUPERNETWORKSK-AS (SH.cz s.r.o.)"
"29447","SCALEWAY S.A.S."
"29452","Secura Hosting Ltd"
"29465","VCG-AS, NG"
"29522","CF-KRK Cyber_Folks S.A."
"29550","SIMPLYTRANSIT, GB"
"29616","Trabia SRL (KIVIX)"
"29636","CATALYST2-AS (Catalyst2 / team.blue)"
"29656","CCBILL-EU PHOENIX NAP, LLC."
"29691","NINE, CH"
"29713","Reliable Hosting Services"
"29724","Data102 (D102-ACULI-2)"
"29748","Carpathia Hosting, Inc."
"29791","Internap Holding LLC (VOXEL-DOT-NET)"
"29802","HVC-AS - HIVELOCITY VENTURES CORP, US"
"29812","US | ONEZERO - One Zero Hosting Inc."
"29838","AMC - Atlantic Metro Communications, US"
"29854","WESTHOST - WestHost, Inc., US"
"29869","HostRocket.com, Inc."
"29883","Internet Hosting Servers"
"29971","US | CTRL-ALT-DEST - CTRL ALT Destination, Inc."
"30058","FDCservers.net"
"30083","SERVER4YOU - server4you Inc., US"
"30137","US | SEA-BROADBAND - Sea Broadband, LLC"
"30152","Beyond Hosting, LLC"
"30176","AS-PRIORITYCOLO - Priority Colo Inc, CA"
"30186","US | ROSS - Ross Technology Inc., US"
"30226","Ntirety, Inc."
"30235","Twinservers Hosting Solutions Inc."
"30279","US | Virtuzo"
"30340","TierPoint, LLC"
"30475","WEHOSTWEBSITES-COM - Handy Networks, LLC, US"
"30479","KZ | OMNICO-COM - Omnico Hosting"
"30496","TierPoint, LLC"
"30506","Cloud Sync Inc"
"30633","LEASEWEB-USA-WDC-01 - Leaseweb USA, Inc., US"
"30693","SERVERHUB-PHOENIX - Eonix Corporation, US"
"30818","Advania Island ehf (IS-ADVANIA-TRANSIT)"
"30823","aurologic GmbH"
"30849","Research-and-production company Host Ltd"
"30900","WEBWORLD-AS t/a Web World Ireland, IE"
"30938","BD | ahbr company limited"
"30998","NAL-AS, NG"
"31025","GHOSTnet GmbH (IAG-AS)"
"31034","Aruba S.p.A."
"31103","KEYWEB-AS, DE"
"31116","MYBOX-AS - dhosting.pl Sp. z o.o."
"31142","GHOSTnet GmbH (KLEYREXFFM-AS)"
"31193","VIATELE-AS - 1 Cloud Lab s.r.o. (ex-Colocall)"
"31240","JSC Hosting Telesystems autonomous system"
"31251","NETGUARD-AS Falco Networks BV provides  Broadband, Voice, Data, Internet, NL"
"31270","GCI Network Solutions Limited (FMN)"
"31294","STIS Engineering LLC (LANTECH-AS)"
"31400","firstcolo GmbH (ACCELERATED-IT)"
"31472","VoiceHost Ltd"
"31530","GHOSTnet GmbH (DWL-NET)"
"31590","Rackhosting.com ApS"
"31631","Telcom Networks Limited (ELEVATE)"
"31659","Below Zero Hosting Ltd."
"31698","AS Number for WebHost.ie Ltd"
